Date,bottle_samp,beaker,tank,arm,pump,tp,coral,sal,dic,ta_rep1,ta_rep2,calc_avg_ta,treat,temp,dbar
2/7/2024,158,5,1,Armand,1,T0,C4,35.52915602,2849.528113,3474.168157,3477.051189,3475.609673,ELEV,27,1
2/7/2024,161,8,1,Armand,1,T0,S14,35.49901892,2903.37963,3535.347535,3534.804885,3535.07621,ELEV,27,1
2/7/2024,167,14,2,Armand,1,T0,C9,35.55701855,2828.118746,3423.502849,3422.597497,3423.050173,ELEV,27,1
2/7/2024,171,18,2,Armand,1,T0,M2,35.52688184,2865.22972,3463.216055,3460.197796,3461.706926,ELEV,27,1
2/7/2024,176,23,2,Armand,1,T0,S1,35.56846455,2856.953287,3484.933856,3485.505532,3485.219694,ELEV,27,1
2/7/2024,181,28,3,Armanda,1,T0,M8,35.54129511,2992.538488,3628.278447,3631.188108,3629.733278,ELEV,27,1
2/7/2024,187,34,3,Armanda,1,T0,S11,35.57239535,2984.594519,3683.994375,3683.01634,3683.505358,ELEV,27,1
2/7/2024,196,43,4,Armanda,1,T0,S12,35.53963838,2985.284333,3685.141802,3680.815417,3682.97861,ELEV,27,1
2/7/2024,198,45,4,Armanda,1,T0,C11,35.56846455,2942.891069,3617.764369,3624.171754,3620.968062,ELEV,27,1
2/7/2024,200,47,4,Armanda,1,T0,C14,35.60384149,2970.071859,3659.458481,3653.891602,3656.675042,ELEV,27,1
2/13/2024,260,5,1,Armand,1,T2,C4,34.74411959,3004.76356,3609.019168,3604.952384,3606.985776,ELEV,27,1
2/13/2024,263,8,1,Armand,1,T2,S14,34.74708631,3039.287089,3655.034602,3660.516844,3657.775723,ELEV,27,1
2/13/2024,269,14,2,Armand,1,T2,C9,34.85334817,2631.864335,3126.055474,3125.816141,3125.935808,ELEV,27,1
2/13/2024,273,18,2,Armand,1,T2,M2,34.72707837,2940.053374,3581.324582,3572.150036,3576.737309,ELEV,27,1
2/13/2024,278,23,2,Armand,1,T2,S1,34.70479346,2956.151799,3589.1078,3586.912914,3588.010357,ELEV,27,1
2/13/2024,283,28,3,Armanda,1,T2,M8,34.61696208,3090.489089,3753.079254,3748.830662,3750.954958,ELEV,27,1
2/13/2024,289,34,3,Armanda,1,T2,S11,34.57894423,3161.439289,3858.063542,3858.638559,3858.351051,ELEV,27,1
2/13/2024,298,43,4,Armanda,1,T2,S12,34.55962418,3096.731542,3775.241546,3775.270059,3775.255803,ELEV,27,1
2/13/2024,300,45,4,Armanda,1,T2,C11,34.56093517,3102.021496,3786.221753,3787.058614,3786.640184,ELEV,27,1
2/13/2024,302,47,4,Armanda,1,T2,C14,34.57632228,3134.061048,3809.431654,3809.905956,3809.668805,ELEV,27,1
2/20/2024,369,5,1,Armand,1,T4,C4,34.0359876,2414.064358,2855.46133,2859.130161,2857.295746,ELEV,27,1
2/20/2024,370,8,1,Armand,1,T4,S14,33.93761958,2914.293679,3524.869041,3532.760933,3528.814987,ELEV,27,1
2/20/2024,371,14,2,Armand,1,T4,C9,33.98614845,2759.806589,3326.649378,3328.501802,3327.57559,ELEV,27,1
2/20/2024,372,18,2,Armand,1,T4,M2,34.08548158,2181.253375,2543.297782,2538.895053,2541.096418,ELEV,27,1
2/20/2024,373,23,2,Armand,1,T4,S1,34.08485776,2200.246391,2568.099035,2570.369697,2569.234366,ELEV,27,1
2/20/2024,374,28,3,Armanda,1,T4,M8,34.17107125,3069.975498,3762.0314,3769.545057,3765.788229,ELEV,27,1
2/20/2024,376,34,3,Armanda,1,T4,S11,34.21303699,3147.404888,3820.7123,3820.661106,3820.686703,ELEV,27,1
2/20/2024,377,43,4,Armanda,1,T4,S12,34.14712115,3082.881926,3764.028244,3764.813705,3764.420975,ELEV,27,1
2/20/2024,378,45,4,Armanda,1,T4,C11,34.15795676,3054.224198,3739.341248,3740.223561,3739.782405,ELEV,27,1
2/20/2024,379,47,4,Armanda,1,T4,C14,34.19074281,3126.117658,3851.414051,3853.061341,3852.237696,ELEV,27,1
2/27/2024,469,5,1,Armand,1,T6,C4,35.38205059,2984.367062,3615.359871,3613.941334,3614.650603,ELEV,27,1
2/27/2024,470,8,1,Armand,1,T6,S14,35.12905076,2799.087332,3587.784794,3588.185513,3587.985154,ELEV,27,1
2/27/2024,471,14,2,Armand,1,T6,C9,35.21038004,2977.53052,3631.853714,3632.531953,3632.192834,ELEV,27,1
2/27/2024,472,18,2,Armand,1,T6,M2,35.2251416,2959.631642,3612.139709,3609.222501,3610.681105,ELEV,27,1
2/27/2024,473,23,2,Armand,1,T6,S1,35.27363003,2929.598206,3600.017049,3597.988394,3599.002722,ELEV,27,1
2/27/2024,474,28,3,Armanda,1,T6,M8,35.03892088,3068.928149,3705.794526,3703.083085,3704.438806,ELEV,27,1
2/27/2024,476,34,3,Armanda,1,T6,S11,35.14283995,3144.703174,3822.110177,3818.059265,3820.084721,ELEV,27,1
2/27/2024,477,43,4,Armanda,1,T6,S12,35.19665584,3089.771091,3784.331738,3787.160424,3785.746081,ELEV,27,1
2/27/2024,478,45,4,Armanda,1,T6,C11,35.27983647,3074.192152,3761.708292,3766.759017,3764.233655,ELEV,27,1
2/27/2024,479,47,4,Armanda,1,T6,C14,35.27528648,3108.739983,3791.542072,3793.547707,3792.54489,ELEV,27,1
3/5/2024,569,5,1,Armand,1,T8,C4,34.33936482,2952.677052,3745.417817,3745.398792,3745.408305,ELEV,27,1
3/5/2024,570,8,1,Armand,1,T8,S14,34.29968587,3069.367701,3660.558715,3661.046503,3660.802609,ELEV,27,1
3/5/2024,571,14,2,Armand,1,T8,C9,34.39277663,3050.406947,3641.327752,3644.039475,3642.683614,ELEV,27,1
3/5/2024,572,18,2,Armand,1,T8,M2,34.28657412,3116.982024,3747.280157,3746.925033,3747.102595,ELEV,27,1
3/5/2024,573,23,2,Armand,1,T8,S1,34.28264058,3089.294664,3708.835956,3712.378498,3710.607227,ELEV,27,1
3/5/2024,574,28,3,Armanda,1,T8,M8,34.18190679,3114.287028,3703.55215,3703.189239,3703.370695,ELEV,27,1
3/5/2024,576,34,3,Armanda,1,T8,S11,34.15795676,2911.146012,3803.97097,3806.802852,3805.386911,ELEV,27,1
3/5/2024,577,43,4,Armanda,1,T8,S12,34.12910456,3098.086861,3704.337178,3705.095709,3704.716444,ELEV,27,1
3/5/2024,578,45,4,Armanda,1,T8,C11,34.13531799,3179.432043,3829.826994,3828.721487,3829.274241,ELEV,27,1
3/5/2024,579,47,4,Armanda,1,T8,C14,34.25728041,2961.433357,3753.973117,3753.078957,3753.526037,ELEV,27,1
